Category,Gender,Count,Ratio,Gender,Count,Ratio,Gender,Count,Ratio,"Total
(Count)","Gap
 (M Ratio - F Ratio)"
physics,F, 877 ,0.61%,M," 10,225 ",7.12%,Neutral," 132,562 ",92.27%," 143,664 ",6.51%
sqa,F, 43 ,0.44%,M, 651 ,6.71%,Neutral," 9,009 ",92.85%," 9,703 ",6.27%
reverseengineering,F, 9 ,0.17%,M, 334 ,6.18%,Neutral," 5,063 ",93.66%," 5,406 ",6.01%
softwarerecs,F, 31 ,0.39%,M, 503 ,6.37%,Neutral," 7,360 ",93.24%," 7,894 ",5.98%
raspberrypi,F, 57 ,0.27%,M," 1,295 ",6.14%,Neutral," 19,730 ",93.59%," 21,082 ",5.87%
cs,F, 76 ,0.28%,M," 1,646 ",6.00%,Neutral," 25,699 ",93.72%," 27,421 ",5.73%
dba,F, 117 ,0.17%,M," 4,051 ",5.87%,Neutral," 64,790 ",93.96%," 68,958 ",5.70%
biology,F, 855 ,5.13%,M," 1,803 ",10.81%,Neutral," 14,017 ",84.06%," 16,675 ",5.69%
tezos,F, 3 ,0.32%,M, 55 ,5.95%,Neutral, 866 ,93.72%, 924 ,5.63%
iot,F, 5 ,0.41%,M, 73 ,5.98%,Neutral," 1,143 ",93.61%," 1,221 ",5.57%
stats,F, 585 ,0.66%,M," 5,466 ",6.17%,Neutral," 82,558 ",93.17%," 88,609 ",5.51%
bricks,F, 23 ,0.71%,M, 201 ,6.18%,Neutral," 3,030 ",93.12%," 3,254 ",5.47%
portuguese,F, 55 ,2.08%,M, 198 ,7.50%,Neutral," 2,388 ",90.42%," 2,641 ",5.41%
travel,F," 1,356 ",3.85%,M," 3,258 ",9.25%,Neutral," 30,597 ",86.90%," 35,211 ",5.40%
drones,F, 1 ,0.16%,M, 34 ,5.51%,Neutral, 582 ,94.33%, 617 ,5.35%
earthscience,F, 32 ,0.84%,M, 234 ,6.17%,Neutral," 3,524 ",92.98%," 3,790 ",5.33%
joomla,F, 2 ,0.04%,M, 283 ,5.30%,Neutral," 5,055 ",94.66%," 5,340 ",5.26%
beer,F, 42 ,2.73%,M, 122 ,7.93%,Neutral," 1,374 ",89.34%," 1,538 ",5.20%
woodworking,F, 22 ,0.59%,M, 215 ,5.75%,Neutral," 3,500 ",93.66%," 3,737 ",5.16%
diy,F, 512 ,1.14%,M," 2,803 ",6.24%,Neutral," 41,638 ",92.63%," 44,953 ",5.10%
arduino,F, 43 ,0.28%,M, 817 ,5.36%,Neutral," 14,374 ",94.35%," 15,234 ",5.08%
cardano,F, - ,0.00%,M, 10 ,5.00%,Neutral, 190 ,95.00%, 200 ,5.00%
anime,F, 31 ,0.29%,M, 570 ,5.28%,Neutral," 10,198 ",94.43%," 10,799 ",4.99%
health,F, 218 ,7.32%,M, 358 ,12.02%,Neutral," 2,403 ",80.66%," 2,979 ",4.70%
scicomp,F, 10 ,0.15%,M, 331 ,4.80%,Neutral," 6,548 ",95.05%," 6,889 ",4.66%
esperanto,F, 73 ,3.79%,M, 162 ,8.41%,Neutral," 1,691 ",87.80%," 1,926 ",4.62%
bioinformatics,F, 15 ,0.50%,M, 153 ,5.12%,Neutral," 2,822 ",94.38%," 2,990 ",4.62%
materials,F, 2 ,0.21%,M, 45 ,4.73%,Neutral, 905 ,95.06%, 952 ,4.52%
codegolf,F, 173 ,0.22%,M," 3,652 ",4.74%,Neutral," 73,287 ",95.04%," 77,112 ",4.51%
tex,F, 587 ,0.29%,M," 9,737 ",4.77%,Neutral," 193,703 ",94.94%," 204,027 ",4.48%
pets,F," 1,221 ",22.80%,M," 1,461 ",27.28%,Neutral," 2,673 ",49.92%," 5,355 ",4.48%
android,F, 118 ,0.42%,M," 1,360 ",4.83%,Neutral," 26,675 ",94.75%," 28,153 ",4.41%
robotics,F, 8 ,0.20%,M, 180 ,4.60%,Neutral," 3,725 ",95.20%," 3,913 ",4.40%
or,F, 4 ,0.27%,M, 70 ,4.64%,Neutral," 1,434 ",95.09%," 1,508 ",4.38%
wordpress,F, 85 ,0.11%,M," 3,390 ",4.46%,Neutral," 72,552 ",95.43%," 76,027 ",4.35%
expressionengine,F, 4 ,0.04%,M, 390 ,4.35%,Neutral," 8,575 ",95.61%," 8,969 ",4.30%
electronics,F, 426 ,0.29%,M," 6,829 ",4.59%,Neutral," 141,564 ",95.12%," 148,819 ",4.30%
bicycles,F, 330 ,1.46%,M," 1,301 ",5.74%,Neutral," 21,047 ",92.81%," 22,678 ",4.28%
sitecore,F, 4 ,0.05%,M, 328 ,4.29%,Neutral," 7,320 ",95.66%," 7,652 ",4.23%
ethereum,F, 32 ,0.16%,M, 867 ,4.39%,Neutral," 18,849 ",95.45%," 19,748 ",4.23%
stellar,F, 4 ,0.50%,M, 38 ,4.70%,Neutral, 766 ,94.80%, 808 ,4.21%
vi,F, 48 ,0.47%,M, 467 ,4.61%,Neutral," 9,626 ",94.92%," 10,141 ",4.13%
mechanics,F, 143 ,0.88%,M, 814 ,5.00%,Neutral," 15,324 ",94.12%," 16,281 ",4.12%
chemistry,F, 76 ,0.32%,M," 1,028 ",4.38%,Neutral," 22,365 ",95.30%," 23,469 ",4.06%
avp,F, 15 ,0.31%,M, 209 ,4.36%,Neutral," 4,566 ",95.32%," 4,790 ",4.05%
quantumcomputing,F, 37 ,0.87%,M, 209 ,4.91%,Neutral," 4,009 ",94.22%," 4,255 ",4.04%
photo,F, 531 ,1.46%,M," 1,985 ",5.45%,Neutral," 33,879 ",93.09%," 36,395 ",4.00%
opendata,F, 9 ,0.35%,M, 112 ,4.30%,Neutral," 2,481 ",95.35%," 2,602 ",3.96%
tridion,F, 2 ,0.04%,M, 225 ,3.98%,Neutral," 5,420 ",95.98%," 5,647 ",3.95%
datascience,F, 52 ,0.35%,M, 614 ,4.17%,Neutral," 14,043 ",95.47%," 14,709 ",3.82%
expatriates,F, 230 ,8.85%,M, 329 ,12.66%,Neutral," 2,039 ",78.48%," 2,598 ",3.81%
sustainability,F, 49 ,2.76%,M, 116 ,6.53%,Neutral," 1,611 ",90.71%," 1,776 ",3.77%
apple,F, 418 ,0.49%,M," 3,593 ",4.19%,Neutral," 81,751 ",95.32%," 85,762 ",3.70%
sharepoint,F, 64 ,0.11%,M," 2,279 ",3.80%,Neutral," 57,615 ",96.09%," 59,958 ",3.69%
engineering,F, 32 ,0.46%,M, 285 ,4.12%,Neutral," 6,601 ",95.42%," 6,918 ",3.66%
hardwarerecs,F, 18 ,1.12%,M, 76 ,4.72%,Neutral," 1,517 ",94.17%," 1,611 ",3.60%
graphicdesign,F, 173 ,0.59%,M," 1,213 ",4.14%,Neutral," 27,948 ",95.28%," 29,334 ",3.55%
elementaryos,F, 7 ,0.20%,M, 129 ,3.73%,Neutral," 3,324 ",96.07%," 3,460 ",3.53%
salesforce,F, 33 ,0.04%,M," 2,654 ",3.54%,Neutral," 72,238 ",96.41%," 74,925 ",3.50%
3dprinting,F, 17 ,0.45%,M, 148 ,3.94%,Neutral," 3,587 ",95.60%," 3,752 ",3.49%
eosio,F, 2 ,0.16%,M, 47 ,3.65%,Neutral," 1,240 ",96.20%," 1,289 ",3.49%
parenting,F," 3,488 ",33.03%,M," 3,835 ",36.32%,Neutral," 3,236 ",30.65%," 10,559 ",3.29%
dsp,F, 38 ,0.24%,M, 521 ,3.33%,Neutral," 15,071 ",96.42%," 15,630 ",3.09%
drupal,F, 37 ,0.06%,M," 1,877 ",3.03%,Neutral," 60,047 ",96.91%," 61,961 ",2.97%
webapps,F, 76 ,0.35%,M, 697 ,3.20%,Neutral," 21,001 ",96.45%," 21,774 ",2.85%
emacs,F, 11 ,0.07%,M, 483 ,2.92%,Neutral," 16,058 ",97.02%," 16,552 ",2.85%
gis,F, 128 ,0.16%,M," 2,443 ",2.98%,Neutral," 79,379 ",96.86%," 81,950 ",2.82%
homebrew,F, 112 ,1.30%,M, 332 ,3.86%,Neutral," 8,167 ",94.84%," 8,611 ",2.55%
math,F," 2,677 ",0.22%,M," 33,683 ",2.75%,Neutral," 1,188,799 ",97.03%," 1,225,159 ",2.53%
civicrm,F, 6 ,0.09%,M, 168 ,2.62%,Neutral," 6,231 ",97.28%," 6,405 ",2.53%
craftcms,F, 7 ,0.07%,M, 240 ,2.50%,Neutral," 9,337 ",97.42%," 9,584 ",2.43%
blender,F, 60 ,0.15%,M," 1,029 ",2.53%,Neutral," 39,560 ",97.32%," 40,649 ",2.38%
gardening,F, 251 ,2.06%,M, 518 ,4.26%,Neutral," 11,387 ",93.67%," 12,156 ",2.20%
mathematica,F, 85 ,0.12%,M," 1,567 ",2.17%,Neutral," 70,620 ",97.71%," 72,272 ",2.05%
magento,F, 35 ,0.06%,M," 1,286 ",2.04%,Neutral," 61,684 ",97.90%," 63,005 ",1.99%
coffee,F, 28 ,2.03%,M, 54 ,3.91%,Neutral," 1,300 ",94.07%," 1,382 ",1.88%
crafts,F, 62 ,3.37%,M, 94 ,5.10%,Neutral," 1,686 ",91.53%," 1,842 ",1.74%
lifehacks,F, 115 ,2.18%,M, 191 ,3.62%,Neutral," 4,963 ",94.19%," 5,269 ",1.44%
vegetarianism,F, 52 ,6.98%,M, 62 ,8.32%,Neutral, 631 ,84.70%, 745 ,1.34%
pt,F, 75 ,0.06%,M," 1,493 ",1.26%,Neutral," 116,922 ",98.68%," 118,490 ",1.20%
ukrainian,F, 11 ,0.60%,M, 32 ,1.75%,Neutral," 1,784 ",97.65%," 1,827 ",1.15%
ru,F, 77 ,0.03%,M," 2,739 ",1.07%,Neutral," 252,409 ",98.90%," 255,225 ",1.04%
interpersonal,F," 2,838 ",31.18%,M," 2,755 ",30.27%,Neutral," 3,509 ",38.55%," 9,102 ",0.91%
windowsphone,F, 25 ,1.17%,M, 44 ,2.06%,Neutral," 2,064 ",96.77%," 2,133 ",0.89%
ja,F, 5 ,0.03%,M, 163 ,0.91%,Neutral," 17,763 ",99.06%," 17,931 ",0.88%
cooking,F," 1,108 ",3.22%,M," 1,264 ",3.67%,Neutral," 32,086 ",93.12%," 34,458 ",0.45%
rus,F, 4 ,0.02%,M, 16 ,0.08%,Neutral," 19,699 ",99.90%," 19,719 ",0.06%
